section,item,part_number,qty,unit_price,currency,vendor,status,note,link
Mobile base,3 in MAXSwerve module,REV-21-3005,3,275.00,USD,REV Robotics,corrected,"Submitted sheet priced this at $675/module. REV's catalog price is $275 and the kit explicitly excludes motors, motor controllers and framing; the balance is itemised in the four rows below.",https://www.revrobotics.com/rev-21-3005/
Mobile base,NEO brushless motor V1.1 (drive),REV-21-1650,3,42.50,USD,REV Robotics,added,"Drive motor for each swerve module; not included with REV-21-3005. Vendor page showed $42.50 on 2026-07-31 (list $50.00).",https://www.revrobotics.com/rev-21-1650/
Mobile base,NEO 550 brushless motor (azimuth),REV-21-1651,3,30.00,USD,REV Robotics,added,"Steering motor for each module; REV names it as the required azimuth motor.",https://www.revrobotics.com/rev-21-1651/
Mobile base,SPARK Flex motor controller (drive),REV-11-2159,3,110.00,USD,REV Robotics,added,"firmware/swerve_drive/scripts/set_drive_limits.py burns the drive cap into 'REV SPARK Flex' controllers.",https://www.revrobotics.com/rev-11-2159/
Mobile base,SPARK MAX motor controller (azimuth),REV-11-2158,3,100.00,USD,REV Robotics,added,"firmware/CLAUDE.md:13 records 6 SPARKs on the base CAN bus; REV lists SPARK MAX as required for the MAXSwerve azimuth.",https://www.revrobotics.com/rev-11-2158/
Mobile base,Base sheet-metal panel 1,custom,1,51.75,USD,laser-cut vendor,sheet,"Flat pattern released with the CAD.",
Mobile base,Base sheet-metal panel 2,custom,1,195.36,USD,laser-cut vendor,sheet,"Flat pattern released with the CAD.",
Body,FlexiSpot E7 Pro lift column,E7 Pro,1,399.00,USD,FlexiSpot,sheet,"A complete standing desk is purchased; only the column and frame are used. 0-0.635 m stroke.",https://www.flexispot.com/flexispot-pro-standing-desk-e7
Body,Lift-to-torso adapter plate,custom,1,59.26,USD,laser-cut vendor,sheet,,
Body,Torso output bracket,custom,1,55.16,USD,laser-cut vendor,sheet,,
Body,Body bottom plate,custom,1,33.55,USD,laser-cut vendor,sheet,,
Body,Arm mounting plate,custom,2,13.17,USD,laser-cut vendor,sheet,"One per arm.",
Body,Neck mounting plate,custom,1,29.05,USD,laser-cut vendor,sheet,,
Body,DAMIAO DM-J10422P torso-pitch actuator,DM-J10422P,1,1999.00,CNY,Taobao,sheet,"Sheet writes 'DM10422P'. 400 N.m torso joint; matches the published build table.",
