model,search_string,spec,list_cny,paid_cny,refs
DAMIAO FOCGM43 joint module,MIT驱动无刷伺服机械臂机器人达妙科技关节模组电机FOCGM43减速双编,Motor with integrated driver · v1.1 (V3),650.00,599.00,"3.01, 5.02"
DAMIAO DM4340 joint motor,MIT驱动无刷伺服机械臂机器人达妙科技关节电机DM4340减速双编码器,Motor with integrated driver · 9 N·m rated,899.00,882.33,3.02
DAMIAO DM8009P joint module,DM8009P 无刷MIT驱动伺服机械臂机器人达妙科技关节模组电机双编,Motor with integrated driver · V4,2529.00,1899.00,3.03
DAMIAO DM10422P torso actuator,DM10422P 双电感编码器高精度中空行星减速关节电机模组,Hollow-shaft planetary · dual inductive encoder,,1999.00,2.07
OpenArm structural set,现货openarm机械臂结构件 定做cnc零件钣金不锈钢 7075铝合金加工,Dual-arm structural set · CNC 7075 + stainless,,2699.00,3.04
OpenArm harness set,"openarm线束、openarm 结构件可开票 线束优化",Harness + hub + e-stop + power adapter board + PSU,,865.00,3.05
Feetech HL3915M servo,飞特HL3915M力控全金属钢齿14KG双轴灵巧手机械臂TTL总线串口舵机,HL-3915-C001 · 12 V · 14 kg-cm · dual-shaft,,235.00,4.01
Feetech HL3930M servo,飞特HL3930M恒力金属外壳35KG大扭矩双轴机械臂机器人TTL串口舵机,HL-3930-C001 · 12 V · 35 kg-cm · dual-shaft,,359.00,4.02
ST/SC bus servo TTL driver board,灵影ST/SC系列飞特总线舵机TTL驱动板USB调试UART接口控制调试板,Bundle 1: TTL Adopter (A),28.00,27.65,4.03
ST/SC 5264 splitter board,灵影ST/SC系列5264端子分线器分组供电飞特总线舵机TTL分线板,TTL-5264 8P Hub (A),,18.00,4.04
